,Total sqft,price,bhk,location_weight,housing_type_IndependentFloor,housing_type_IndependentHouse,housing_type_StudioApartment,housing_type_Villa,type_RK
247,534,15.5,1,1.1215718554613257,0,0,0,0,0
248,555,35.0,1,2.7249683143219268,0,0,0,0,0
249,1601,20.0,5,1.1215718554613257,1,0,0,0,0
250,651,20.0,1,1.1215718554613257,0,0,0,0,0
251,1601,20.0,5,1.1215718554613257,1,0,0,0,0
252,246,68.65,1,1.1215718554613257,0,0,0,0,0
253,503,138.0,1,1.1215718554613257,0,0,0,0,0
254,514,141.0,1,1.1215718554613257,0,0,0,0,0
255,323,82.89,1,1.1215718554613257,0,0,0,0,0
256,237,61.22,1,1.1215718554613257,0,0,0,0,0
257,275,70.8,1,1.1215718554613257,0,0,0,0,0
258,216,55.93,1,1.1215718554613257,0,0,0,0,0
259,460,19.0,1,0.7707791341471549,0,0,0,0,0
260,300,16.0,1,1.1215777085298801,0,0,1,0,1
261,507,29.5,1,0.8905343205923554,0,0,0,0,0
262,750,225.0,2,14.457007537856049,0,0,0,0,0
263,635,240.0,1,7.6612634247215,0,0,0,0,0
264,978,190.0,2,5.993596157694617,0,0,0,0,0
265,810,90.0,2,2.948147884164289,0,0,0,0,0
266,887,85.0,2,2.2568874658128215,0,0,0,0,0
267,387,11.5,1,0.7192336235074379,0,0,0,0,0
268,662,28.0,1,8.641676233810463,0,0,0,0,0
269,860,42.0,2,0.8320825828830634,0,0,0,0,0
270,560,29.75,1,0.7362750983923688,0,0,0,0,0
271,865,36.0,2,1.1082983123207257,0,0,0,0,0
272,765,130.0,1,17.24664428286602,0,0,0,0,0
273,630,26.0,1,2.2568874658128215,0,0,0,0,0
274,2250,78.0,3,2.508171569608432,0,0,0,0,0
275,450,89.0,1,0.7283536788739912,0,0,0,0,0
276,550,40.0,1,1.1072643586151696,0,0,0,0,0
277,651,20.0,1,1.1215718554613257,0,0,0,0,0
278,600,250.0,1,22.566039623774266,0,0,0,0,0
279,651,20.0,1,1.1215718554613257,0,0,0,0,0
280,535,46.0,2,2.5088386365152426,0,0,0,0,0
281,825,54.0,2,1.5422987125608703,0,0,0,0,0
282,2002,300.0,6,8.437249849909946,1,0,0,0,0
283,2000,286.0,3,8.437249849909946,1,0,0,0,0
284,854,185.0,2,17.291551401429096,0,0,0,0,0
285,695,23.0,1,0.7192336235074379,0,0,0,0,0
286,420,68.03,1,3.414803784231323,0,0,0,0,0
287,394,65.0,1,3.414803784231323,0,0,0,0,0
288,316,55.29,1,3.414803784231323,0,0,0,0,0
289,1275,69.99,3,1.234674137816023,0,0,0,0,0
290,387,11.61,1,0.450436928823961,0,0,0,0,0
291,560,47.0,1,1.5075712093923022,0,0,0,0,0
292,680,77.0,1,3.6308651857781338,0,0,0,0,0
293,350,65.0,1,8.937670294484382,0,0,0,0,0
294,385,24.5,1,1.2782669601761059,0,0,0,0,0
295,550,35.0,1,2.3652286610061273,0,0,0,0,0
296,725,25.0,1,1.1082983123207257,0,0,0,0,0
297,780,78.0,3,4.428371308499385,0,1,0,0,0
298,1150,175.0,2,8.5546566034859,0,0,0,0,0
299,413,74.36,1,3.414803784231323,0,0,0,0,0
300,353,60.78,1,3.414803784231323,0,0,0,0,0
301,390,67.13,1,3.414803784231323,0,0,0,0,0
302,406,69.76,1,3.414803784231323,0,0,0,0,0
303,332,57.09,1,3.414803784231323,0,0,0,0,0
304,980,50.0,2,1.7708119425031927,0,0,0,0,0
305,275,56.99,1,4.68917582433518,0,0,0,0,0
306,520,114.99999999999999,1,4.428371308499385,0,0,0,0,0
307,565,35.0,1,0.740444266559936,0,0,0,0,0
308,500,126.0,2,5.993596157694617,0,0,0,0,0
309,650,22.99,1,1.1082983123207257,0,0,0,0,0
310,600,18.0,1,8.211593622840372,0,0,0,0,0
311,410,17.75,1,0.6359944999257618,0,0,0,0,0
312,735,31.5,2,0.6359944999257618,0,0,0,0,0
313,840,36.25,2,0.6359944999257618,0,0,0,0,0
314,460,21.25,1,0.6359944999257618,0,0,0,0,0
315,435,20.0,1,0.6359944999257618,0,0,0,0,0
316,490,22.5,1,0.6359944999257618,0,0,0,0,0
317,530,24.5,1,0.6359944999257618,0,0,0,0,0
318,780,33.5,2,0.6359944999257618,0,0,0,0,0
319,428,33.49,2,0.8182687390211906,0,0,0,0,0
320,237,19.99,1,0.8182687390211906,0,0,0,0,0
321,1450,69.99,3,0.7338569808551799,0,0,0,1,0
322,515,125.0,1,4.428371308499385,0,0,0,0,0
323,540,114.99999999999999,1,6.593956373824295,0,0,0,0,0
324,250,3.8,1,0.03335334534053765,0,0,0,0,0
325,264,20.0,1,5.382118159784759,0,0,0,0,0
326,380,15.0,1,0.991921239700342,0,0,0,0,0
327,750,88.0,1,3.6308651857781338,0,0,0,0,0
328,900,75.0,2,3.028996885310674,0,0,0,0,0
329,600,42.0,1,2.545315067828576,0,0,0,0,0
330,676,150.0,2,4.920730215907322,0,0,0,0,0
331,830,80.0,2,2.2635803704444895,0,0,0,0,0
334,1505,53.0,3,1.6743379360949904,0,0,0,0,0
335,660,71.0,1,2.9352394045122727,0,0,0,0,0
336,600,35.0,1,2.545315067828576,0,0,0,0,0
337,540,100.0,1,6.593956373824295,0,0,0,0,0
338,350,72.0,1,3.592155293175906,0,0,0,0,0
339,960,62.0,2,1.5576012274031088,0,0,0,0,0
340,650,125.0,1,4.68917582433518,0,0,0,0,0
341,450,100.0,1,4.375958908678541,0,0,0,0,0
342,690,35.0,1,1.234674137816023,0,0,0,0,0
343,674,28.0,1,0.840504302581549,0,0,0,0,0
344,425,21.54,2,3.414803784231323,0,0,0,0,0
345,790,375.0,2,15.471687384015109,0,0,0,0,0
346,550,40.0,1,1.2782669601761059,0,0,0,0,0
347,1151,159.0,2,4.428371308499385,0,0,0,0,0
348,660,42.0,1,2.545315067828576,0,0,0,0,0
349,385,14.9,1,0.991921239700342,0,0,0,0,0
350,800,70.0,2,2.948147884164289,0,0,0,0,0
351,270,55.0,1,1.7410446267760658,0,0,0,0,0
352,850,48.0,1,2.948147884164289,0,0,0,0,0
353,950,90.0,2,1.7708119425031927,0,0,0,0,0
354,830,57.0,2,1.5422987125608703,0,0,0,0,0
355,540,32.0,1,1.1072643586151696,0,0,0,0,0
356,890,250.0,1,8.244946968180908,0,0,0,0,0
357,500,18.0,1,0.6359944999257618,0,0,0,0,0
358,470,26.0,1,0.7707791341471549,0,0,0,0,0
359,410,18.5,1,0.7707791341471549,0,0,0,0,0
360,1000,185.0,2,5.993596157694617,0,0,0,0,0
361,1050,175.0,2,3.6308651857781338,0,0,0,0,0
362,1050,239.0,2,4.063829602109092,0,0,0,0,0
363,580,93.0,1,4.063829602109092,0,0,0,0,0
364,560,82.0,1,4.428371308499385,0,0,0,0,0
365,570,105.0,1,4.375958908678541,0,0,0,0,0
366,575,52.0,1,2.948147884164289,0,0,0,0,0
367,350,24.0,1,0.7070909212193983,0,0,0,0,0
368,740,76.0,1,2.948147884164289,0,0,0,0,0
369,1565,165.0,3,2.948147884164289,0,0,0,0,0
370,1080,190.0,2,4.063829602109092,0,0,0,0,0
371,1500,400.0,3,8.690312226551617,0,0,0,0,0
372,1355,130.0,3,2.2568874658128215,0,0,0,0,0
373,1601,20.0,5,1.1215718554613257,1,0,0,0,0
374,651,20.0,1,1.1215718554613257,0,0,0,0,0
375,1601,20.0,5,1.1215718554613257,1,0,0,0,0
376,651,20.0,1,1.1215718554613257,0,0,0,0,0
377,960,114.99999999999999,2,2.581548929357615,0,0,0,0,0
378,666,193.0,2,17.291551401429096,0,0,0,0,0
379,261,45.49,1,2.2568874658128215,0,0,0,0,0
380,1093,78.0,2,2.4748182242678944,0,0,0,0,0
381,600,77.0,1,3.6308651857781338,0,0,0,0,0
382,355,75.0,1,8.437249849909946,0,0,0,0,0
383,600,55.0,1,3.6308651857781338,0,0,0,0,0
384,650,20.5,1,0.8894225424143375,0,0,0,0,0
385,854,155.0,2,8.690312226551617,0,0,0,0,0
386,550,35.0,1,0.991921239700342,0,0,0,0,0
387,830,55.0,2,1.5422987125608703,0,0,0,0,0
388,830,56.61,2,1.5422987125608703,0,0,0,0,0
389,575,66.0,2,2.5088386365152426,0,0,0,0,0
390,380,50.0,1,1.5742779000733775,0,0,0,0,0
391,1098,155.0,2,8.5546566034859,0,0,0,0,0
