,Location,Total sqft,price,area_type,availability,bhk,type,housing_type
160,Kharghar,1835,220.00000000000003,Super built-up  Area,Ready To Move,3,BHK,Apartment
161,Kharghar,1835,220.00000000000003,Plot  Area,Ready To Move,3,BHK,Apartment
162,Kharghar,1835,220.00000000000003,Super built-up  Area,Ready To Move,3,BHK,Apartment
163,Kharghar,1245,149.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
164,Kharghar,1245,149.0,Built-up  Area,Ready To Move,2,BHK,Apartment
165,Kharghar,1745,208.0,Built-up  Area,Ready To Move,3,BHK,Apartment
166,Kharghar,1745,208.0,Built-up  Area,Ready To Move,3,BHK,Apartment
167,Kharghar,1335,168.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
168,Kharghar,1335,168.0,Built-up  Area,Ready To Move,2,BHK,Apartment
169,Rasayani,542,49.9,Super built-up  Area,Ready To Move,2,BHK,Apartment
170,Andheri East,424,119.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
171,Rasayani,451,41.24,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
172,Rasayani,330,30.71,Super built-up  Area,Ready To Move,1,BHK,Apartment
173,Rasayani,326,30.93,Super built-up  Area,Ready To Move,1,BHK,Apartment
174,Rasayani,513,43.83,Super built-up  Area,Ready To Move,2,BHK,Apartment
175,Malad East,613,139.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
176,Malad East,405,92.34,Carpet  Area,Ready To Move,1,BHK,Apartment
177,Vangani,241,6.5,Super built-up  Area,Ready To Move,1,RK,StudioApartment
178,Badlapur West,770,29.64,Super built-up  Area,Ready To Move,2,BHK,Apartment
179,Badlapur West,790,30.41,Super built-up  Area,Ready To Move,2,BHK,Apartment
180,Badlapur West,540,20.79,Super built-up  Area,Ready To Move,1,BHK,Apartment
181,Badlapur West,605,23.29,Super built-up  Area,Ready To Move,1,BHK,Apartment
182,Badlapur West,430,16.55,Super built-up  Area,Ready To Move,1,BHK,Apartment
183,Malad East,646,146.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
184,Malad East,323,69.9,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
185,Kurla,595,127.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
186,Kurla,418,90.08,Super built-up  Area,Ready To Move,1,BHK,Apartment
187,Kurla,584,124.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
188,Vikhroli,444,88.54,Super built-up  Area,Ready To Move,1,BHK,Apartment
189,Vikhroli,390,78.05,Super built-up  Area,Ready To Move,1,BHK,Apartment
190,Vikhroli,408,81.55,Super built-up  Area,Ready To Move,1,BHK,Apartment
191,Dahisar,1093,227.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
192,Dahisar,701,149.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
193,Borivali East,437,97.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
194,Borivali East,619,145.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
195,Borivali East,434,96.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
196,Borivali East,385,88.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
197,Borivali East,477,120.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
198,Borivali East,584,145.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
199,Borivali East,712,170.0,Built-up  Area,Ready To Move,2,BHK,Apartment
200,Borivali East,871,229.99999999999997,Super built-up  Area,Ready To Move,2,BHK,Apartment
201,Badlapur West,502,16.56,Super built-up  Area,Ready To Move,1,RK,StudioApartment
202,Badlapur West,635,20.95,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
203,Badlapur West,535,17.65,Built-up  Area,Ready To Move,1,BHK,Apartment
204,Badlapur West,565,18.64,Super built-up  Area,Ready To Move,1,BHK,Apartment
205,Badlapur West,380,13.68,Super built-up  Area,Ready To Move,1,RK,StudioApartment
206,Mulund West,1292,377.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
207,Mulund West,758,225.0,Built-up  Area,Ready To Move,2,BHK,Apartment
208,Badlapur West,345,19.91,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
209,Badlapur West,352,20.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
210,Badlapur West,294,16.0,Plot  Area,Not Ready Yet,1,BHK,Apartment
211,Badlapur West,366,21.28,Built-up  Area,Ready To Move,1,BHK,Apartment
212,Badlapur West,333,19.33,Super built-up  Area,Ready To Move,1,BHK,Apartment
213,Badlapur West,358,20.89,Carpet  Area,Ready To Move,1,BHK,Apartment
214,Badlapur West,372,21.67,Super built-up  Area,Ready To Move,1,BHK,Apartment
215,Badlapur West,380,22.06,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
216,Borivali East,380,88.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
217,Borivali East,764,185.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
218,Kharghar,708,109.00000000000001,Super built-up  Area,Ready To Move,2,BHK,Apartment
219,Kharghar,923,140.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
220,Kharghar,694,106.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
221,Vasai,401,24.58,Super built-up  Area,Ready To Move,1,BHK,Apartment
222,Vasai,440,28.31,Built-up  Area,Ready To Move,1,BHK,Apartment
223,Vasai,334,21.95,Super built-up  Area,Ready To Move,1,BHK,Apartment
224,Vasai,383,25.02,Super built-up  Area,Ready To Move,1,BHK,Apartment
225,Kharghar,1275,151.0,Built-up  Area,Ready To Move,2,BHK,Apartment
226,Kharghar,1875,216.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
227,Kharghar,1415,165.0,Super built-up  Area,Not Ready Yet,2,BHK,Apartment
228,Kharghar,3295,381.0,Super built-up  Area,Ready To Move,4,BHK,Apartment
229,Kharghar,1890,218.00000000000003,Super built-up  Area,Ready To Move,3,BHK,Apartment
230,Kharghar,1855,214.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
231,Kharghar,2025,231.99999999999997,Super built-up  Area,Not Ready Yet,3,BHK,Apartment
232,Kharghar,1400,164.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
233,Kharghar,3405,393.0,Super built-up  Area,Not Ready Yet,4,BHK,Apartment
234,Ambernath East,662,35.69,Super built-up  Area,Ready To Move,2,BHK,Apartment
235,Ambernath East,438,23.61,Super built-up  Area,Ready To Move,1,BHK,Apartment
236,Vasai,280,19.09,Super built-up  Area,Ready To Move,1,BHK,Apartment
237,Vasai,278,18.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
238,Vangani,410,17.4,Built-up  Area,Ready To Move,1,BHK,Apartment
239,Palghar,550,16.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
240,Palghar,760,22.8,Super built-up  Area,Ready To Move,2,BHK,Apartment
241,Vasai,685,36.37,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
242,Vasai,1100,60.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
243,Dombivali East,1595,145.0,Built-up  Area,Ready To Move,3,BHK,Apartment
244,Chembur,570,110.00000000000001,Built-up  Area,Ready To Move,2,BHK,Apartment
245,Mira Road East,580,69.0,Built-up  Area,Ready To Move,1,BHK,Apartment
246,Badlapur East,1000,30.0,Built-up  Area,Ready To Move,2,BHK,Apartment
247,Andheri West,534,15.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
248,Vasai east,555,35.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
249,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
250,Andheri West,651,20.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
251,Andheri West,1601,20.0,Super built-up  Area,Ready To Move,5,BHK,IndependentFloor
252,Andheri West,246,68.65,Super built-up  Area,Ready To Move,1,BHK,Apartment
253,Andheri West,503,138.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
254,Andheri West,514,141.0,Built-up  Area,Ready To Move,1,BHK,Apartment
255,Andheri West,323,82.89,Super built-up  Area,Ready To Move,1,BHK,Apartment
256,Andheri West,237,61.22,Super built-up  Area,Ready To Move,1,BHK,Apartment
257,Andheri West,275,70.8,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
258,Andheri West,216,55.93,Super built-up  Area,Ready To Move,1,BHK,Apartment
259,Neral,460,19.0,Built-up  Area,Ready To Move,1,BHK,Apartment
260,Bhiwandi,300,16.0,Super built-up  Area,Not Ready Yet,1,RK,StudioApartment
261,Wada,507,29.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
262,Dadar East,750,225.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
263,Colaba,635,240.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
264,Mulund West,978,190.0,Built-up  Area,Not Ready Yet,2,BHK,Apartment
265,Mira Road East,810,90.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
266,Panvel,887,85.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
267,Badlapur West,387,11.5,Super built-up  Area,Ready To Move,1,BHK,Apartment
268,Sion,662,28.0,Super built-up  Area,Not Ready Yet,1,BHK,Apartment
269,Santosh Nagar,860,42.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
270,Virar East,560,29.75,Super built-up  Area,Ready To Move,1,BHK,Apartment
271,Badlapur East,865,36.0,Super built-up  Area,Ready To Move,2,BHK,Apartment
272,Agripada,765,130.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
273,Panvel,630,26.0,Super built-up  Area,Ready To Move,1,BHK,Apartment
274,Gorai,2250,78.0,Super built-up  Area,Ready To Move,3,BHK,Apartment
275,Vangani,450,89.0,Built-up  Area,Not Ready Yet,1,BHK,Apartment
