,Total sqft,price,bhk,type,housing_type,location_weight
1753,1080,85.0,2,BHK,Apartment,3.2039594126846485
1754,740,69.0,1,BHK,Apartment,3.2039594126846485
1755,740,68.0,1,BHK,Apartment,3.2039594126846485
1756,1250,235.0,2,BHK,Apartment,6.149800991706135
1757,885,175.0,2,BHK,Apartment,6.149800991706135
1758,625,114.99999999999999,1,BHK,Apartment,4.55273163898339
1759,815,223.0,2,BHK,Apartment,9.396920203404093
1760,400,32.0,1,BHK,Apartment,1.2782669601761059
1761,900,135.0,2,BHK,Apartment,3.9654561967950004
1762,450,51.5,1,BHK,Apartment,4.063829602109092
1763,1000,125.0,2,BHK,Apartment,5.739456745942991
1764,1200,170.0,2,BHK,Apartment,5.739456745942991
1765,660,40.0,1,BHK,Apartment,1.2782669601761059
1766,2450,345.0,3,BHK,Apartment,5.739456745942991
1767,1010,60.0,2,BHK,Apartment,1.2782669601761059
1768,1000,129.0,2,BHK,Apartment,5.739456745942991
1769,2300,420.0,4,BHK,Apartment,5.739456745942991
1770,800,100.0,1,BHK,Apartment,5.739456745942991
1771,650,60.0,1,BHK,Apartment,1.9078113534787542
1772,600,75.0,1,RK,StudioApartment,5.739456745942991
1773,800,70.0,1,BHK,Apartment,3.516022657072505
1774,600,75.0,1,BHK,Apartment,3.0418250950570345
1775,602,72.0,1,RK,StudioApartment,3.0418250950570345
1776,1000,125.0,2,BHK,Apartment,3.0418250950570345
