size,Location,Total sqft,price_sqft,price,area_type,availability
1 BHK Apartment,Rasayani,302,"7,052",21.3 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Rasayani,514,"6,614",34 L,Built-up  Area,Ready To Move
2 BHK Apartment,Rasayani,455,"6,483",29.5 L,Built-up  Area,Ready To Move
2 BHK Apartment,Rasayani,651,"6,451",42 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Rasayani,568,"7,086",40.25 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Rasayani,421,"6,294",26.5 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Badlapur West,368,"6,793",25 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Badlapur West,485,"6,670",32.35 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,834,"25,692",2.14 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,841,"25,692",2.16 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,825,"25,692",2.11 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,775,"23,681",1.83 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Chembur,528,"25,692",1.35 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,511,"25,692",1.31 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,739,"23,681",1.75 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Chembur,507,"25,692",1.3 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,506,"25,692",1.3 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Chembur,684,"31,000",2.12 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Chembur,617,"31,000",1.91 Cr,Super built-up  Area,Ready To Move
1 BHK Apartment,Kurla,447,"21,973",97.99 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Malad West,1150,"21,000",2.41 Cr,Built-up  Area,Ready To Move
1 BHK Apartment,Malad West,501,"21,000",1.05 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Malad West,623,"21,000",1.3 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Malad West,631,"21,000",1.32 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Malad West,744,"21,000",1.56 Cr,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Panvel,868,"14,861",1.29 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Panvel,687,"15,574",1.07 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Panvel,636,"15,723",1 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Panvel,691,"15,629",1.08 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Panvel,674,"15,727",1.06 Cr,Plot  Area,Not Ready Yet
2 BHK Apartment,Panvel,680,"15,588",1.06 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Panvel,631,"15,768",99.5 L,Super built-up  Area,Ready To Move
3 BHK Apartment,Panvel,862,"13,921",1.2 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Panvel,682,"15,542",1.06 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Panvel,616,"15,746",97 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Neral,368,"5,771",21.23 L,Plot  Area,Ready To Move
2 BHK Apartment,Chembur,735,"26,531",1.95 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Taloja,990,"4,591",45.45 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Taloja,695,"4,576",31.8 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,576,"10,416",60 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,576,"10,416",60 L,Built-up  Area,Ready To Move
1 BHK Apartment,Dombivali,433,"10,392",45 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Dombivali,433,"10,392",45 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,694,"10,230",71 L,Super built-up  Area,Ready To Move
2 BHK Apartment,Dombivali,694,"10,230",71 L,Super built-up  Area,Not Ready Yet
3 BHK Apartment,Kharghar,1835,"12,043",2.2 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Kharghar,1835,"12,043",2.2 Cr,Super built-up  Area,Ready To Move
3 BHK Apartment,Kharghar,1835,"12,043",2.2 Cr,Plot  Area,Ready To Move
3 BHK Apartment,Kharghar,1835,"12,043",2.2 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Kharghar,1245,"12,048",1.49 Cr,Super built-up  Area,Ready To Move
2 BHK Apartment,Kharghar,1245,"12,048",1.49 Cr,Built-up  Area,Ready To Move
3 BHK Apartment,Kharghar,1745,"11,977",2.08 Cr,Built-up  Area,Ready To Move
3 BHK Apartment,Kharghar,1745,"11,977",2.08 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Kharghar,1335,"12,659",1.68 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Kharghar,1335,"12,659",1.68 Cr,Built-up  Area,Ready To Move
2 BHK Apartment,Rasayani,542,"9,207",49.9 L,Super built-up  Area,Ready To Move
1 BHK Apartment,Andheri East,424,"28,067",1.19 Cr,Super built-up  Area,Not Ready Yet
2 BHK Apartment,Rasayani,451,"9,146",41.24 L,Super built-up  Area,Not Ready Yet
1 BHK Apartment,Rasayani,330,"9,309",30.71 L,Super built-up  Area,Ready To Move
